conversation number,persona,chat,summary
1,,"hi , how are you doing ? i am getting ready to do some cheetah chasing to stay in shape .
you must be very fast . hunting is one of my favorite hobbies .
i am ! for my hobby i like to do canning or some whittling .
i also remodel homes when i am not out bow hunting .
that is neat . when i was in high school i placed 6th in 100m dash !
that is awesome . do you have a favorite season or time of year ?
i do not . but i do have a favorite meat since that is all i eat exclusively .
what is your favorite meat to eat ?
i would have to say its prime rib . do you have any favorite foods ?
i like chicken or macaroni and cheese .
do you have anything planned for today ? i think i am going to do some canning .
i am going to watch football . what are you canning ?
i think i will can some jam . do you also play footfall for fun ?
if i have time outside of hunting and remodeling homes . which is not much !
","The user enjoys remodeling homes, hunting, and shooting a bow, with a particular fondness for Halloween. They also engage in physical activities like cheetah chasing and track events, and enjoy canning and whittling as hobbies. Their favorite meat is prime rib, and they like chicken and macaroni and cheese. They plan to can jam and watch football, but their primary activities are hunting and remodeling homes."
2,,"hi , how are you doing today ?
i am spending time with my 4 sisters what are you up to
wow , four sisters . just watching game of thrones .
that is a good show i watch that while drinking iced tea
i agree . what do you do for a living ?
i am a researcher i am researching the fact that mermaids are real
interesting . i am a website designer . pretty much spend all my time on the computer .
that is cool my mom does the same thing
that is awesome . i have always had a love for technology .
tell me more about yourself
i really enjoy free diving , how about you , have any hobbies ?
i enjoy hanging with my mother she is my best friend
that is nice . moms are pretty cool too .
i am also fascinated with mermaids
","The user is a website designer and researcher who believes in the existence of mermaids. They enjoy spending time with their four sisters and their mother, who is their best friend. The user also has hobbies such as free diving and watching Game of Thrones while drinking iced tea."
3,,"we all live in a yellow submarine , a yellow submarine . morning !
hi ! that is a great line for my next stand up .
lol . i am shy , anything to break the ice , and i am a beatles fan .
i can tell . i am not , you can see me in some tv shows
really ? what shows ? i like tv , it makes me forget i do not like my family
wow , i wish i had a big family . i grew up in a very small town .
i did too . i do not get along with mine . they have no class .
just drink some cola with rum and you will forget about them !
put the lime in the coconut as well . . .
nah , plain cuba libre , that is what we drank yesterday at the theater .
i prefer mojitos . watermelon or cucumber .
those are really yummy too , but not my favorite .
","The user is a stand-up comedian from a small town who enjoys drinking Cuba Libre, particularly plain with rum and cola, and prefers it over other drinks like mojitos. They also have a fondness for TV shows, which they use as a form of escapism from their family life. The user has appeared in some TV series and has a Beatles fan background. They also have a humorous take on their family life, comparing them to a submarine crew."
4,,"hi ! i work as a gourmet cook .
i do not like carrots . i throw them away .
really . but , i can sing pitch perfect .
i also cook , and i ride my bike to work .
great ! i had won an award for spelling bee .
my contacts can see through what you are trying to sell me .
okay but i was published in new yorker once
you better not make any spelling mistakes .
i have not . i can cook any word you want me to
what is your ethnicity ? i am white , and my hair is brown .
i am asian and have no hair .
i love hairless asians . do you like carrots ?
i love carrots . i eat carrots like a horse .
are you male or female ?
i work as a gourmet cook who also has a pitch perfect voice .
i doubt that very much . you probably like to scream alone .
","The user identifies as a white, brown-haired, athletic individual who enjoys bicycling and has a passion for cooking, particularly gourmet dishes. They have won an award for spelling and are a published author in New Yorker. The user dislikes carrots and wears contacts. They also express a fascination with hairless Asians, though they are unsure about the user's gender."
5,,"how are you doing today
what do you do for career ? i have a ton of hobbies if you are interested !
i like to watch kids
i actually play guitar and do a lot of manly things , like welding .
what do you weld ? houses ?
everything ! i am actually manly . but i have a secret i am hiding .
what is your secret that you have
my parents do not know that i am . . . homosexual .
how does that feel for you
makes me secure with my manly hobby skills .
i bet that it does
anyway . what do you do ?
i watch kids for a living
that is awesome . do you like it ?
","The user, who is primarily a meat eater and a guitar player, works as a welder, a career they consider manly. They also have a secret that their parents don't know about: they are homosexual. They find comfort in their hobbies and feel secure with their skills. In addition to welding, they also watch kids for a living, which they enjoy."
6,,"hello friend , how is it going
i am well an you ? i have a creepy ride . guess
i am great enjoying the football season
i drive around in a long black hearse an love this season
you work for a funeral home ?
yes it is nice , halloween is my fav .
lol , i can imagine . i will be reading a lot when football is over
no i do not work at a funeral home
ok i see , that is your halloween costume
what do you like to read ? i like rock alternative music .
i like anything to do with mystery
oh no it is not it is my car lol
lol , oh i see , taught you own it
me also what is your favorite ?
well i like sherlock holmes and others
i do own it i think there is confusion ?
","The user owns a hearse, enjoys crocheting, and is a fan of alternative rock music. They consider Halloween their favorite holiday and have a humorous conversation with a friend about their car, which they jokingly claim to own, leading to some confusion."
7,,"rock on , i am listening to my favorite band guns and roses .
no kidding ? i was just listening to the same thing while taking a bath .
of course . i love to listen to rock .
man my boxer just peed on the carpet !
well i am into black everything . so at least it would not show on my black carpet .
ll . i love black too ! guess i was playing my music too loud .
i have a black car , purse , wear all black .
maybe i can borrow something as i am packing to visit my dad in china .
wow , does he live there or work ?
live . moved there about ten years ago for a computer tech job .
have you visited him there before ?
once . you cannot even throw a gum wrapper or you can get arrested .
sounds a bit scary . i ve never been .
well not too much crime there , but a lot of people .
","The user enjoys rock music, particularly Guns and Roses, and has a boxer dog. They also have a preference for black items, including their car and carpet, and are planning to visit their father in China, where they previously visited once. The user mentions that China has strict littering laws, which can result in arrest, but they note that crime is not too prevalent there."
8,,"hi . how are you doing today ?
hi i am great just finishing up some homework how are you
i am alright . i just got done writing .
do you write for a living or as a hobby
it is my living . i like culture .
that sounds like a fun job . i am a business major but have a part time job
what are you going to school for
i am trying to get my ba in finance
do you own your own company
no still in school work at pizza hut part time
do you get free pizza
no but i do get a good deal .
that is a good start
yeah it is . i really hope they have a frat party again soon
i used to party a lot
it is fun i cant get enough
","The user is a college student majoring in business with a part-time job at a pizza restaurant. They are currently working towards a BA in finance and enjoy the culture of their work environment. They also have a fondness for partying and hope for a reunion party, reminiscing about their past experiences with frequent partying."
9,,"hi how are you today
doing great . i had the day off , you ?
i only worked half a day i work at the bank
that is nice . i work a lot
what do you do ?
just office work , but it is a lot
oh ok i am a teller was the best job i could find with no college
a bank teller is a good job .
yes it does pay the bills
when i am not working i play basket ball what do you do for fun
i hike at the park
that sounds relaxing , i suppose
i love nature and it keeps my mind off things . do you travel
not much . i should though while i am young
i want to go to another country at least once . i have never left the states
me either . we could go together !
","The user from Texas, who works as a bank teller and enjoys basketball, is having a casual conversation with someone who enjoys hiking and has never traveled outside the United States. They both express a desire to travel together in the future."
10,,"hello , how are you today ?
i am well , how are you ?
i am very good . did you watch the football games today ?
no but my sons are watching a game right now
what do you do for a living ? i proofread for hallmark .
cool . . . i followed my father and became an author
books are my greatest pleasure , i have a nice little library i am building .
awesome . . . nothing like filling your mind with literature
i agree . have you seen goodfellas ?
not much of a tv guy since i am always traveling
i catch the football and hockey games .
have you ever traveled before ?
i do . i travel extensively to europe and south america .
ireland and australia are my go to places
ireland is very nice , japan is my next stop .
never been there . i heard they are very friendly people
","The user enjoys traveling and has visited Ireland and Australia, with a personal connection to Australia through their father, who was an author. They are well, have a profession in proofreading for Hallmark, and have a passion for literature, evidenced by their growing library. They have seen the film ""Goodfellas"" and are familiar with sports, catching football and hockey games. The user has traveled extensively to Europe and South America, with Ireland and Australia being their preferred destinations. They plan to visit Japan next, having heard about its friendly people."
