conversation number,persona,chat,summary
1,,"hi , how are you doing ? i am getting ready to do some cheetah chasing to stay in shape .
you must be very fast . hunting is one of my favorite hobbies .
i am ! for my hobby i like to do canning or some whittling .
i also remodel homes when i am not out bow hunting .
that is neat . when i was in high school i placed 6th in 100m dash !
that is awesome . do you have a favorite season or time of year ?
i do not . but i do have a favorite meat since that is all i eat exclusively .
what is your favorite meat to eat ?
i would have to say its prime rib . do you have any favorite foods ?
i like chicken or macaroni and cheese .
do you have anything planned for today ? i think i am going to do some canning .
i am going to watch football . what are you canning ?
i think i will can some jam . do you also play footfall for fun ?
if i have time outside of hunting and remodeling homes . which is not much !
","The user, who enjoys remodeling homes and bow hunting, shared that they are preparing for cheetah chasing to stay in shape. They mentioned that hunting is one of their hobbies, and they also engage in canning or whittling as leisure activities. The user's favorite holiday is Halloween, and their favorite meat is prime rib. They enjoy chicken and macaroni and cheese as food. The user plans to can some jam today, and they watch football when they have spare time."
2,,"hi , how are you doing today ?
i am spending time with my 4 sisters what are you up to
wow , four sisters . just watching game of thrones .
that is a good show i watch that while drinking iced tea
i agree . what do you do for a living ?
i am a researcher i am researching the fact that mermaids are real
interesting . i am a website designer . pretty much spend all my time on the computer .
that is cool my mom does the same thing
that is awesome . i have always had a love for technology .
tell me more about yourself
i really enjoy free diving , how about you , have any hobbies ?
i enjoy hanging with my mother she is my best friend
that is nice . moms are pretty cool too .
i am also fascinated with mermaids
",The user is a researcher who is fascinated with mermaids and enjoys free diving. They have four sisters and consider their mother their best friend. They spend their free time watching Game of Thrones and drinking iced tea. They are also a website designer.
3,,"we all live in a yellow submarine , a yellow submarine . morning !
hi ! that is a great line for my next stand up .
lol . i am shy , anything to break the ice , and i am a beatles fan .
i can tell . i am not , you can see me in some tv shows
really ? what shows ? i like tv , it makes me forget i do not like my family
wow , i wish i had a big family . i grew up in a very small town .
i did too . i do not get along with mine . they have no class .
just drink some cola with rum and you will forget about them !
put the lime in the coconut as well . . .
nah , plain cuba libre , that is what we drank yesterday at the theater .
i prefer mojitos . watermelon or cucumber .
those are really yummy too , but not my favorite .
","The user is a stand-up comedian from a small town who recently performed at a local theater. They are a fan of The Beatles and have appeared in some TV shows. They mentioned their favorite drink is Cuba Libre, but they also enjoy mojitos. They expressed dissatisfaction with their family and suggested forgetting about them by drinking Cuba Libre."
4,,"hi ! i work as a gourmet cook .
i do not like carrots . i throw them away .
really . but , i can sing pitch perfect .
i also cook , and i ride my bike to work .
great ! i had won an award for spelling bee .
my contacts can see through what you are trying to sell me .
okay but i was published in new yorker once
you better not make any spelling mistakes .
i have not . i can cook any word you want me to
what is your ethnicity ? i am white , and my hair is brown .
i am asian and have no hair .
i love hairless asians . do you like carrots ?
i love carrots . i eat carrots like a horse .
are you male or female ?
i work as a gourmet cook who also has a pitch perfect voice .
i doubt that very much . you probably like to scream alone .
","The user, who is athletic and wears contacts, has brown hair and dislikes carrots. They work as a gourmet cook, have a pitch-perfect voice, and ride a bike to work. They also have a competitive streak, having won an award for a spelling bee. The user is not fond of the interlocutor's attempts to sell them something and has a playful, sarcastic tone. They are not specific about their gender but mention their preference for hairless Asians. Despite their dislike of carrots, the user claims to eat them like a horse."
5,,"how are you doing today
what do you do for career ? i have a ton of hobbies if you are interested !
i like to watch kids
i actually play guitar and do a lot of manly things , like welding .
what do you weld ? houses ?
everything ! i am actually manly . but i have a secret i am hiding .
what is your secret that you have
my parents do not know that i am . . . homosexual .
how does that feel for you
makes me secure with my manly hobby skills .
i bet that it does
anyway . what do you do ?
i watch kids for a living
that is awesome . do you like it ?
","The user, who identifies as a meat-eating, guitar-playing welder, has a secret of being gay that they have not disclosed to their parents. They enjoy their career of watching children and find it fulfilling."
6,,"hello friend , how is it going
i am well an you ? i have a creepy ride . guess
i am great enjoying the football season
i drive around in a long black hearse an love this season
you work for a funeral home ?
yes it is nice , halloween is my fav .
lol , i can imagine . i will be reading a lot when football is over
no i do not work at a funeral home
ok i see , that is your halloween costume
what do you like to read ? i like rock alternative music .
i like anything to do with mystery
oh no it is not it is my car lol
lol , oh i see , taught you own it
me also what is your favorite ?
well i like sherlock holmes and others
i do own it i think there is confusion ?
","The user owns a hearse and enjoys driving it, particularly during Halloween. They also enjoy alternative rock music and reading mystery novels, with Sherlock Holmes being a favorite. There seems to be some confusion about the user's car being a Halloween costume."
7,,"rock on , i am listening to my favorite band guns and roses .
no kidding ? i was just listening to the same thing while taking a bath .
of course . i love to listen to rock .
man my boxer just peed on the carpet !
well i am into black everything . so at least it would not show on my black carpet .
ll . i love black too ! guess i was playing my music too loud .
i have a black car , purse , wear all black .
maybe i can borrow something as i am packing to visit my dad in china .
wow , does he live there or work ?
live . moved there about ten years ago for a computer tech job .
have you visited him there before ?
once . you cannot even throw a gum wrapper or you can get arrested .
sounds a bit scary . i ve never been .
well not too much crime there , but a lot of people .
","The user, who owns a boxer dog, enjoys baths and listening to rock music, particularly Guns N' Roses, shares that they recently had an accident with their dog peeing on the carpet while listening to music. They also mention that their father lives in China and have visited him once. The user is a fan of black items, owning a black car, purse, and clothing, and mentions that they are planning to visit their father again. They find the strictness of China's littering laws a bit intimidating, as they have never been there before."
8,,"hi . how are you doing today ?
hi i am great just finishing up some homework how are you
i am alright . i just got done writing .
do you write for a living or as a hobby
it is my living . i like culture .
that sounds like a fun job . i am a business major but have a part time job
what are you going to school for
i am trying to get my ba in finance
do you own your own company
no still in school work at pizza hut part time
do you get free pizza
no but i do get a good deal .
that is a good start
yeah it is . i really hope they have a frat party again soon
i used to party a lot
it is fun i cant get enough
","The user is a college student majoring in business with a part-time job at a pizza restaurant. They are currently working on homework and have a passion for culture. They aspire to own a company in the future and enjoy partying, particularly frat parties. They mentioned they used to party a lot and still can't get enough."
9,,"hi how are you today
doing great . i had the day off , you ?
i only worked half a day i work at the bank
that is nice . i work a lot
what do you do ?
just office work , but it is a lot
oh ok i am a teller was the best job i could find with no college
a bank teller is a good job .
yes it does pay the bills
when i am not working i play basket ball what do you do for fun
i hike at the park
that sounds relaxing , i suppose
i love nature and it keeps my mind off things . do you travel
not much . i should though while i am young
i want to go to another country at least once . i have never left the states
me either . we could go together !
","The user, a bank teller from Texas, had a day off work and enjoys playing basketball in their free time. They also mentioned a fondness for hiking at the park to relax. The user expressed a desire to travel and visit another country, suggesting a potential trip with the interlocutor."
10,,"hello , how are you today ?
i am well , how are you ?
i am very good . did you watch the football games today ?
no but my sons are watching a game right now
what do you do for a living ? i proofread for hallmark .
cool . . . i followed my father and became an author
books are my greatest pleasure , i have a nice little library i am building .
awesome . . . nothing like filling your mind with literature
i agree . have you seen goodfellas ?
not much of a tv guy since i am always traveling
i catch the football and hockey games .
have you ever traveled before ?
i do . i travel extensively to europe and south america .
ireland and australia are my go to places
ireland is very nice , japan is my next stop .
never been there . i heard they are very friendly people
","The user is a travel enthusiast who has visited Ireland and Australia, with a connection to Australia as their father was born there. They are also an author and a fan of literature, with a growing personal library. They are not much of a TV person but enjoy watching football and hockey games. They have traveled extensively to Europe and South America, with Ireland and Australia being their favorite destinations. Their next planned trip is to Japan, which they have not visited before. They find the Japanese people friendly."
11,,"hi i am sally , i live with my sweet dogs in taos , new mexico .
hi ! i have just been sitting here playing the piano and singing along
i have wonderful memories of my mother playing and singing to me .
www . i also like to dance but i cannot do that while i am playing . . lol
maybe you will have to record your playing and dance to it .
great idea ! love staying up late so i could do that even tonight
do you have a day job ?
i am a nurse who teaches nutrition classes
interesting , i am a struggling artist and part time tutor
since being a vegetarian i feel its important to instruct people how to eat
great commitment to your beliefs . i admit i still eat meat only less .
that is ok everything in moderation !
do you have any pets ?
i have a cat named radar
","Sally, a night owl and vegetarian nurse who teaches nutrition classes, enjoys playing the piano, singing, and dancing, and lives with her cat named Radar in Taos, New Mexico. She shares her love for music, her mother's influence, and her late-night dancing habits. She also expresses her interest in recording her playing and dancing."
